ID,RANK,SEX,LENGTH,WEIGHT,GROUP,INFORMANT,TREATMENT,TIMEPOINT,ORIENT,MOVE,TOTAL,PERCENT,LEARNED,LEARN.RATE,DLG,DLV,DM1,DM3,VS,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.CUMUL,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
95,fem,female,38,1.44,sub12,SUB,DEMONSTRATOR,22,4,2,6,86,YES,late,0.029365684,0.011655043,0.018650022,0.010630429,0.029137248,8,3.176470588,8,6,2.176470588,6,0.75,0.685185185,131,16.375,16.625,13.5
100,male,male,68,7.3,male1,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00498,0.003489822,0.00993819,0.003432821,0.007837492,,,,,,,,,,,,
101,female,female,49,3.25,female1,FEMALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00568,0.003198294,0.00903423,0.003431915,0.006994284,,,,,,,,,,,,
102,male,male,63,8.01,male2,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00664,0.003021631,0.00878354,0.002947562,0.007923534,,,,,,,,,,,,
103,female,female,44,2.8,female2,FEMALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.00649,0.002998419,0.008839281,0.003958281,0.008234584,,,,,,,,,,,,
104,female,female,46,2.28,female3,FEMALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.006379418,0.003776714,0.004799799,0.003136595,0.007755077,,,,,,,,,,,,
105,male,male,58,5.27,male3,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.005555666,0.004096406,0.007497644,0.004249718,0.006463649,,,,,,,,,,,,
106,female,female,45,2.7,female4,FEMALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.007937007,0.004419346,0.004651889,0.003297467,0.008503482,,,,,,,,,,,,
107,male,male,62,6.03,male4,MALE,INDIVIDUAL,6,0,0,0,0,NO,not,0.006701292,0.003383999,0.004375722,0.00340416,0.008010725,,,,,,,,,,,,
108,male,male,63,6.92,male7,MALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.003762089,0.002339009,0.004839758,0.00276515,0.004857676,,,,,,,,,,,,
109,female,female,48,2.61,female7,FEMALE,INDIVIDUAL,14,1,1,1,100,NO,not,0.007502409,0.003012769,0.00798985,0.003096131,0.00736216,,,,,,,,,,,,
110,male,male,73,7.83,male8,MALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.004226742,0.003389591,0.00792385,0.002389261,0.004527774,,,,,,,,,,,,
111,female,female,48,2.63,female8,FEMALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.00703284,0.002996752,0.004470489,0.004111322,0.007176084,,,,,,,,,,,,
112,female,female,45,2.4,female9,FEMALE,INDIVIDUAL,14,1,1,1,100,YES,early,0.0110579,0.005000829,0.004245431,0.003423448,0.007048293,,,,,,,,,,,,
113,female,female,47,2.67,female10,FEMALE,INDIVIDUAL,14,0,0,0,0,NO,not,0.00421,0.003112886,0.004581983,0.004133786,0.006983452,,,,,,,,,,,,
