GROUP,INFORMANT,TREATMENT,CONTEXT,LEARN.RATE,TIMEPOINT,TRIAL,ORIENT,MOVE,SOCIAL,TOTAL,PROPORTION,PERCENT,APPROACHES,APPROACH.AVG,APPROACH.DIFF,DISPLACEMENTS,DISPLACE.AVG,DISPLACE.DIFF,AGGEFF.TRIAL,AGGEFF.TOTAL,AGGEFF.CUMUL,APPROACHED,DISPLACED,LINECROSS,LINECROSS.NORM,LINECROSS.NORM.LAST.4.AVG,LINECROSS.NORM.AVG
dom9,dom,social,group,early,twentytwo,21,4,8,0,8,1,100,9,,,8,,,0.888888889,0.875273523,,,,142,17.75,,
dom9,dom,social,group,early,twentytwo,22,7,3,3,7,1,100,18,,,15,,,0.833333333,0.875273523,,,,139,17.375,,9.8125
sub1,sub,social,group,not,six,1,1,1,1,2,0.29,29,15,4,-13,14,3,-13,0.933333333,0.75,0.75,,,153,19.125,,
sub1,sub,social,group,not,six,2,1,3,2,5,0.71,71,0,,,0,,,0,0.75,,,,105,13.125,,
sub1,sub,social,group,not,six,3,3,1,1,2,0.29,29,2,,,0,,,0,0.75,,,,111,13.875,,
sub1,sub,social,group,not,six,4,1,1,0,1,0.14,14,3,,,1,,,0.333333333,0.75,,,,113,14.125,,
sub1,sub,social,group,not,six,5,4,0,0,0,0,0,2,,,2,,,1,0.75,,,,132,16.5,,
sub1,sub,social,group,not,six,6,5,0,0,0,0,0,2,,,1,,,0.5,0.75,,,,111,13.875,14.59375,15.10416667
sub2,sub,social,group,not,six,1,0,0,0,0,0,0,10,5,-3,6,2.5,-2,0.6,0.5,0.5,,,85,10.625,,
sub2,sub,social,group,not,six,2,1,1,0,1,0.14,14,3,,,0,,,0,0.5,,,,52,6.5,,
sub2,sub,social,group,not,six,3,1,3,1,4,0.57,57,5,,,4,,,0.8,0.5,,,,65,8.125,,
sub2,sub,social,group,not,six,4,7,1,2,3,0.43,43,4,,,1,,,0.25,0.5,,,,61,7.625,,
sub2,sub,social,group,not,six,5,4,1,7,8,1,100,1,,,0,,,0,0.5,,,,45,5.625,,
sub2,sub,social,group,not,six,6,3,1,2,3,0.43,43,7,,,4,,,0.571428571,0.5,0.583333333,,,86,10.75,8.03125,8.208333333
sub3,sub,social,group,not,six,1,4,4,1,5,0.71,71,1,1,0,1,0.5,-1,1,0.5,,,,174,21.75,,
sub3,sub,social,group,not,six,2,6,2,2,4,0.57,57,1,,,1,,,1,0.5,,,,126,15.75,,
sub3,sub,social,group,not,six,3,4,1,1,2,0.29,29,1,,,0,,,0,0.5,,,,121,15.125,,
sub3,sub,social,group,not,six,4,2,1,3,4,0.57,57,2,,,1,,,0.5,0.5,,,,78,9.75,,
sub3,sub,social,group,not,six,5,4,5,0,5,0.71,71,0,,,0,,,0,0.5,,,,101,12.625,,
sub3,sub,social,group,not,six,6,6,2,2,4,0.57,57,1,,,0,,,0,0.5,,,,113,14.125,12.90625,14.85416667
sub4,sub,social,group,not,six,1,2,1,0,1,0.14,14,2,11,7,2,6.5,4,1,0.590909091,0.590909091,,,48,6,,
sub4,sub,social,group,not,six,2,2,1,1,2,0.29,29,19,,,11,,,0.578947368,0.590909091,,,,79,9.875,,
sub4,sub,social,group,not,six,3,2,1,2,3,0.43,43,17,,,11,,,0.647058824,0.590909091,,,,93,11.625,,
sub4,sub,social,group,not,six,4,3,1,2,3,0.43,43,12,,,6,,,0.5,0.590909091,,,,104,13,,
sub4,sub,social,group,not,six,5,4,2,3,5,0.71,71,7,,,3,,,0.428571429,0.590909091,,,,83,10.375,,
sub4,sub,social,group,not,six,6,5,1,3,4,0.57,57,9,,,6,,,0.666666667,0.590909091,,,,110,13.75,12.1875,10.77083333
sub9,sub,social,group,early,fourteen,1,0,0,0,0,0,0,1,5.142857143,-1,1,3.071428571,-1,1,0.597222222,0.597222222,,,66,8.25,,
